iter	Logloss
0	0.6907753313
1	0.6872825063
2	0.6849842837
3	0.6820463317
4	0.6782248946
5	0.6761076888
6	0.6744090858
7	0.6718065931
8	0.6685888795
9	0.6664403704
10	0.6623991029
11	0.6598080506
12	0.6566249097
13	0.6538965793
14	0.6505929758
15	0.6487817651
16	0.6465430852
17	0.6441568873
18	0.6412552305
19	0.6378622161
20	0.6353383479
21	0.6327647303
22	0.6298108803
23	0.6270977676
24	0.6237949736
25	0.6218035621
26	0.619420402
27	0.6173819071
28	0.6150413106
29	0.6122651227
30	0.6110040491
31	0.6090961646
32	0.6073897265
33	0.6053925822
34	0.6040813562
35	0.6026643896
36	0.6009088063
37	0.5986245864
38	0.5966427127
39	0.5948207176
40	0.5929435172
41	0.5910721942
42	0.5897608725
43	0.5879371566
44	0.5856644241
45	0.58469183
46	0.5827345681
47	0.5812098407
48	0.5785992724
49	0.5768436641
50	0.5755252143
51	0.5733590241
52	0.5709421941
53	0.5684425422
54	0.5661381272
55	0.5638785006
56	0.5622919843
57	0.5600771411
58	0.5590015134
59	0.5574344831
60	0.5562848994
61	0.5549665736
62	0.5538695213
63	0.5523777537
64	0.5503802075
65	0.5475877475
66	0.5461759679
67	0.5441090941
68	0.5431545891
69	0.5419660431
70	0.541120207
71	0.5391203816
72	0.5381717831
73	0.5369814548
74	0.5348133012
75	0.533869556
76	0.5330754875
77	0.5314767702
78	0.5295156853
79	0.5284244291
80	0.5264314762
81	0.5253218504
82	0.5238858562
83	0.5220842254
84	0.5213744629
85	0.5200641224
86	0.5188282917
87	0.517897735
88	0.5168063545
89	0.515341844
90	0.5142624531
91	0.5128355838
92	0.5123749263
93	0.5106451317
94	0.5087903991
95	0.5076138746
96	0.5061302864
97	0.5052653024
98	0.5038215089
99	0.5022160176
100	0.5016442765
101	0.5006514444
102	0.4990728429
103	0.4972545699
104	0.4954362007
105	0.4942346944
106	0.4936376686
107	0.4923560275
108	0.4908631224
109	0.4899428804
110	0.4893180519
111	0.4880440865
112	0.4868452209
113	0.4860065202
114	0.485163269
115	0.4837507336
116	0.4819814729
117	0.4808175235
118	0.4798591308
119	0.4782643721
120	0.4773169247
121	0.476705403
122	0.4753936168
123	0.47393499
124	0.4729906937
125	0.4714466968
126	0.4709044963
127	0.469595579
128	0.4674861404
129	0.466497448
130	0.4655318639
131	0.4652324573
132	0.4637936848
133	0.4632640746
134	0.4623527877
135	0.4616395582
136	0.4611446283
137	0.4591178621
138	0.4582987785
139	0.457218296
140	0.4558769456
141	0.454893634
142	0.4544066166
143	0.4535068076
144	0.4529121471
145	0.4524799077
146	0.4508242199
147	0.4502094268
148	0.4492980913
149	0.4486186537
150	0.4475541685
151	0.4456582305
152	0.4445755533
153	0.4439111902
154	0.4433369882
155	0.4415253793
156	0.4408673202
157	0.4396648991
158	0.4384476296
159	0.4372604289
160	0.436563786
161	0.435963904
162	0.4349448907
163	0.4342325052
164	0.4331510153
165	0.4311899981
166	0.4302585223
167	0.4296694431
168	0.427692526
169	0.4264656372
170	0.4253489142
171	0.4249596078
172	0.4237213164
173	0.4228097312
174	0.4212253748
175	0.4203054676
176	0.4194801356
177	0.4190448754
178	0.4179028395
179	0.4170728774
180	0.4165924222
181	0.4160541347
182	0.4154909073
183	0.4146784353
184	0.413965382
185	0.4129864921
186	0.4115225283
187	0.4104011691
188	0.4092507092
189	0.4086318538
190	0.4081479974
191	0.4076764631
192	0.4067985915
193	0.4059128357
194	0.4049851215
195	0.4040012307
196	0.4032308514
197	0.4023128454
198	0.4010192873
199	0.3996389846
200	0.3984412825
201	0.3971565157
202	0.3956158803
203	0.39517978
204	0.3934761946
205	0.3921613862
206	0.391024087
207	0.3907447702
208	0.3898353875
209	0.3885103016
210	0.3876084409
211	0.3870041119
212	0.3860422221
213	0.3841635695
214	0.3832503452
215	0.3824116849
