iter	Passed	Remaining
0	18	9258
1	34	8604
2	50	8411
3	63	7819
4	76	7544
5	86	7144
6	97	6831
7	106	6571
8	115	6315
9	124	6087
10	132	5896
11	141	5744
12	149	5610
13	158	5492
14	166	5367
15	174	5288
16	182	5197
17	191	5130
18	200	5064
19	208	5010
20	217	4951
21	226	4913
22	234	4864
23	242	4810
24	253	4812
25	261	4775
26	272	4782
27	283	4783
28	291	4742
29	301	4718
30	310	4694
31	318	4657
32	327	4636
33	335	4598
34	344	4578
35	352	4544
36	361	4519
37	369	4490
38	378	4477
39	388	4462
40	396	4441
41	404	4414
42	412	4385
43	420	4362
44	429	4342
45	437	4320
46	446	4301
47	454	4282
48	463	4265
49	471	4246
50	480	4231
51	488	4209
52	496	4190
53	505	4174
54	513	4155
55	521	4137
56	530	4120
57	538	4106
58	547	4089
59	556	4080
60	567	4084
61	576	4072
62	587	4072
63	596	4065
64	606	4055
65	614	4040
66	623	4027
67	632	4018
68	640	4001
69	648	3986
70	657	3973
71	666	3962
72	675	3951
73	684	3939
74	692	3925
75	701	3912
76	709	3896
77	717	3883
78	726	3870
79	734	3857
80	743	3844
81	751	3831
82	759	3817
83	769	3809
84	776	3792
85	785	3780
86	793	3766
87	801	3754
88	810	3741
89	819	3731
90	828	3723
91	836	3708
92	845	3699
93	853	3685
94	861	3672
95	869	3660
96	878	3647
97	886	3637
98	895	3625
99	903	3614
100	911	3600
101	920	3593
102	929	3581
103	937	3569
104	945	3556
105	953	3544
106	961	3532
107	971	3526
108	979	3514
109	987	3502
110	996	3491
111	1004	3480
112	1013	3469
113	1021	3457
114	1029	3447
115	1038	3437
116	1046	3424
117	1054	3413
118	1062	3403
119	1071	3393
120	1079	3382
121	1089	3374
122	1097	3364
123	1106	3353
124	1114	3342
125	1124	3338
126	1134	3331
127	1142	3320
128	1150	3310
129	1159	3301
130	1168	3290
131	1176	3280
132	1185	3271
133	1193	3259
134	1201	3249
135	1210	3240
136	1221	3236
137	1229	3225
138	1238	3215
139	1246	3205
140	1254	3194
141	1262	3183
142	1271	3173
143	1279	3163
144	1288	3153
145	1297	3145
146	1305	3134
147	1314	3125
148	1322	3115
149	1330	3105
150	1339	3094
151	1347	3084
152	1355	3075
153	1364	3065
154	1373	3057
155	1381	3047
156	1390	3037
157	1399	3028
158	1407	3018
159	1415	3008
160	1424	2999
161	1432	2989
162	1440	2978
163	1449	2969
164	1457	2959
165	1466	2950
166	1474	2940
167	1483	2931
168	1491	2922
169	1500	2912
170	1508	2902
