Processed_File,Model,ROC AUC,Accuracy,Precision,Recall,F1,Fold
Data_drop_na.pkl,LightGBM,0.521941438102298,0.9813649922443621,0.1,0.04,0.05714285714285714,
Data_drop_na.pkl,CatBoost,0.4380825302693353,0.982054647416776,0.0,0.0,0.0,
Data_drop_na.pkl,LogisticRegression,0.5708851000741291,0.8930461758740007,0.007407407407407407,0.04,0.0125,
Data_drop_na.pkl,MLP,0.5386592537682234,0.9634315714115262,0.0,0.0,0.0,
Data_iterative_imputed.pkl,LightGBM,0.7616341908898665,0.9730986357362333,0.6810971465810175,0.13303253529772868,0.22227215743454593,
Data_iterative_imputed.pkl,CatBoost,0.765220252611979,0.9742208519594433,0.9041671979259636,0.12193370165745857,0.21448445621476683,
Data_iterative_imputed.pkl,LogisticRegression,0.7994701244582337,0.7721563333297864,0.08664741441699968,0.7206015960712093,0.15468259321624606,
Data_iterative_imputed.pkl,MLP,0.6552440557981409,0.9461331946209578,0.1199014628063153,0.13634131368938,0.12705508714751884,
Data_knn_imputed.pkl,LightGBM,0.6176126954070718,0.9705976799810294,0.06666666666666667,0.0011111111111111111,0.002185792349726776,
Data_knn_imputed.pkl,CatBoost,0.618367094023085,0.9710465623578802,0.0,0.0,0.0,
Data_knn_imputed.pkl,LogisticRegression,0.6321188049363047,0.6306591002006199,0.04302226096240791,0.5543093922651934,0.07984127404234616,
Data_knn_imputed.pkl,MLP,0.565636651373211,0.9316083269166523,0.048577125065213465,0.07422958870472682,0.058669641306199824,
Data_mean_imputed.pkl,LightGBM,0.6258502839450053,0.9710144956591469,0.0,0.0,0.0,
Data_mean_imputed.pkl,CatBoost,0.6226500822682711,0.9710465623578802,0.0,0.0,0.0,
Data_mean_imputed.pkl,LogisticRegression,0.6318862859540755,0.6319419326472869,0.043036721024744574,0.5521117249846531,0.079844607182573,
Data_mean_imputed.pkl,MLP,0.5610878208310632,0.9309990287974685,0.04759485244758484,0.07313075506445672,0.05755082935966752,
Data_median_imputed.pkl,LightGBM,0.6171183565856665,0.9710465572173386,0.0,0.0,0.0,
Data_median_imputed.pkl,CatBoost,0.6143412907005236,0.9710786239160718,0.0,0.0,0.0,
Data_median_imputed.pkl,LogisticRegression,0.6345373167465109,0.6315889522152214,0.04317278165688662,0.5553959484346225,0.0801112459448998,
Data_median_imputed.pkl,MLP,0.5528268892984923,0.931993194128494,0.05481542217408947,0.08422958870472683,0.06632239848794835,
Data_test_final.pkl,Final_LightGBM_on_Test,1.0,0.9994869821726305,1.0,0.9823008849557522,0.9910714285714286,-1.0
